"ONE","TWO","THREE"
"C1_HCT",0.000105800025216827,0.401000714796283,0.577608652112958
"C1_VCT",0.599323625116234,0.343102215868478,0.233526937712798
"C1_PICT",0.400570574858549,0.255897069335239,0.188864410174244
"L2.1_HCT_m500",NA,0.352941176470588,0.34119278779473
"L2.1_HCT_350500",NA,0.17825311942959,0.162621359223301
"L2.1_HCT_200350",NA,0.165775401069519,0.144590846047157
"L2.1_HCT_l200",NA,0.303030303030303,0.351595006934813
"L2.1_VCT_m500",0.368864017863347,0.372916666666667,0.35934819897084
"L2.1_VCT_350500",0.15558026892058,0.1625,0.156946826758148
"L2.1_VCT_200350",0.139510945370097,0.135416666666667,0.139794168096055
"L2.1_VCT_l200",0.336044767845976,0.329166666666667,0.343910806174957
"L2.1_PICT_m500",0.303825136612022,0.315642458100559,0.330858960763521
"L2.1_PICT_350500",0.156284153005464,0.0977653631284916,0.15694591728526
"L2.1_PICT_200350",0.168306010928962,0.175977653631285,0.160127253446448
"L2.1_PICT_l200",0.410614525139665,0.410614525139665,0.352067868504772
"R3_HCT",NA,1.71875,1.92275574112735
"R3_VCT",1.51685393258427,1.74418604651163,1.94166666666667
"R3_PICT",1.78294573643411,1.85245901639344,2.23343848580442
"R8_HCT",NA,226.951219512195,223.181692477876
"R8_VCT",236.945587082617,218.515037593985,215.822179732314
"R8_PICT",214.387096774194,190.340909090909,210.354927636113
"ART1_HCT_m500",NA,0,0.0019280205655527
"ART1_HCT_350500",NA,0.00826446280991736,0.0077120822622108
"ART1_HCT_200350",NA,0.0165289256198347,0.27827763496144
"ART1_HCT_l200",NA,0.975206611570248,0.712082262210797
"ART1_VCT_m500",0,0,0
"ART1_VCT_350500",0,0.00909090909090909,0.0102040816326531
"ART1_VCT_200350",0.00802139037433155,0,0.303571428571429
"ART1_VCT_l200",0.991978609625668,0.990909090909091,0.686224489795918
"ART1_PICT_m500",0,0,0.0043956043956044
"ART1_PICT_350500",0.0419354838709677,0.0185185185185185,0.0307692307692308
"ART1_PICT_200350",0.0419354838709677,0.0462962962962963,0.301098901098901
"ART1_PICT_l200",0.916129032258065,0.935185185185185,0.663736263736264
"ART1_ALL_m500",0,0,0.00208073241781107
"ART1_ALL_350500",0.0190058479532164,0.0117994100294985,0.0124843945068664
"ART1_ALL_200350",0.0233918128654971,0.0206489675516224,0.286724927174365
"ART1_ALL_l200",0.957602339181287,0.967551622418879,0.698709945900957
"ART2_HCT",NA,0.975206611570248,0.712082262210797
"ART2_VCT",0.991978609625668,0.990909090909091,0.686224489795918
"ART2_PICT",0.916129032258065,0.935185185185185,0.663736263736264
"ART4",2.64766081871345,3.10029498525074,3.63171036204744
"ART5_HCT",NA,0.495867768595041,0.741645244215938
"ART5_VCT",0.192513368983957,0.381818181818182,0.729591836734694
"ART5_PITC",0.296774193548387,0.5,0.716483516483516
"ART6_HCT",NA,10412.595567759,14646.9942909004
"ART9_HCT",NA,0,0.0019280205655527
"ART9_VCT",0,0,0.00510204081632653
"ART9_PITC",0,0,0
"ART10_ALL",NA,NA,15633.6214585371
"ART11_HCT",NA,0.115702479338843,0.140102827763496
"ART11_VCT",0.0454545454545455,0.136363636363636,0.107142857142857
"ART11_PITC",0.119354838709677,0.111111111111111,0.164835164835165
"ART12_ALL",11875.6777052249,14818.7612263967,15507.1642870856
"ART13_HCT",NA,0,0
"ART13_VCT",0,0,0
"ART13_PICT",0,0,0
"ART14_HCT",NA,0.388429752066116,0.116323907455013
"ART14_VCT",0.762032085561497,0.481818181818182,0.158163265306122
"ART14_PICT",0.583870967741935,0.388888888888889,0.118681318681319
"PLWHIV_2010",0,0.618097185979265,0
"PLWHIV_2010_VCT",0,0.660543130990415,0
"PLWHIV_2010_PICT",0,0.339456869009585,0
"%onART",0.0257422949432259,0.0922556072788828,0.0628355456851499
"nonART,",365,1308,881.142857142857
"diag_count",NA,NA,NA
"ART14_ALL",0.681286549707602,0.418879056047198,0.123595505617978
"ART5_ALL",0.239766081871345,0.460176991150442,0.73491468997087
"ART9_ALL",0,0,0.00208073241781107
"ART11_ALL",0.0789473684210526,0.12094395280236,0.139409071993342
"ART13_ALL",0,0,0
"ArtRoute_Hct",0,0.35693215339233,0.647523928422805
"ArtRoute_Vct",0.546783625730994,0.324483775811209,0.163129421556388
"ArtRoute_Pict",0.453216374269006,0.31858407079646,0.189346650020807
