Year,SpectrumIncidence
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,140
1981,355
1982,"1,134"
1983,"1,791"
1984,"3,418"
1985,"6,444"
1986,"11,887"
1987,"21,704"
1988,"38,623"
1989,"66,784"
1990,"108,993"
1991,"165,074"
1992,"226,131"
1993,"269,547"
1994,"275,327"
1995,"243,681"
1996,"195,612"
1997,"152,571"
1998,"121,318"
1999,"101,327"
2000,"99,767"
2001,"93,594"
2002,"90,036"
2003,"88,528"
2004,"86,346"
2005,"84,378"
2006,"85,844"
2007,"89,751"
2008,"93,679"
2009,"90,240"
2010,"91,738"
