year,HIV_prev,HIV_prev_high_est,HIV_prev_low_est
1990,0.025,0.022,0.029
1991,0.037,0.033,0.043
1992,0.053,0.048,0.06
1993,0.069,0.064,0.077
1994,0.084,0.078,0.089
1995,0.093,0.089,0.097
1996,0.098,0.095,0.101
1997,0.098,0.095,0.101
1998,0.096,0.093,0.099
1999,0.093,0.09,0.096
2000,0.089,0.086,0.092
2001,0.085,0.082,0.088
2002,0.081,0.078,0.084
2003,0.076,0.073,0.079
2004,0.072,0.069,0.075
2005,0.068,0.066,0.071
2006,0.066,0.063,0.068
2007,0.064,0.061,0.066
2008,0.063,0.061,0.065
2009,0.062,0.06,0.064
2010,0.062,0.06,0.064
2011,0.062,0.059,0.063
2012,0.061,0.059,0.063
