year,prev,prevLow,prevHigh
1990,0.025,0.022,0.029
1991,0.038,0.034,0.045
1992,0.056,0.05,0.064
1993,0.075,0.068,0.083
1994,0.091,0.084,0.099
1995,0.102,0.096,0.108
1996,0.108,0.103,0.112
1997,0.108,0.104,0.112
1998,0.104,0.101,0.108
1999,0.099,0.095,0.103
2000,0.093,0.089,0.097
2001,0.087,0.084,0.091
2002,0.081,0.077,0.085
2003,0.075,0.072,0.079
2004,0.07,0.067,0.074
2005,0.066,0.063,0.07
2006,0.063,0.06,0.067
2007,0.062,0.058,0.065
2008,0.061,0.057,0.065
2009,0.06,0.057,0.064
2010,0.06,0.057,0.064
2011,0.061,0.057,0.065
2012,0.061,0.056,0.065
2013,0.06,0.056,0.066
